_RAJ2000,_DEJ2000,WR,Name,Aname,RAJ2000,DEJ2000,r_Pos,r_FC,recno
10.8683333,64.7598333,1,,HIP 3415,00 43 28.40,+64 45 35.40,Hip,VI,1
16.3459583,60.4219167,2,,HIP 5100,01 05 23.03,+60 25 18.90,Hip,VI,2
24.7317917,58.1563056,3,,HIP 7681,01 38 55.63,+58 09 22.70,Hip,VI,3
40.2986667,56.7304722,4,,HIP 12527,02 41 11.68,+56 43 49.70,Hip,VI,4
43.0485833,56.9353056,5,,HIP 13380,02 52 11.66,+56 56 07.10,Hip,VI,5
103.554375,-23.9283611,6,HR 2583,HIP 33165,06 54 13.05,-23 55 42.10,Hip,VI,6
109.621375,-13.2170833,7,,HIP 35378,07 18 29.13,-13 13 01.50,Hip,VI,7
110.09325,-23.7326667,7a,PMLC 1,GSC 6537-0281,07 20 22.38,-23 43 57.60,GSC,SP90,8
116.2425833,-31.9082222,8,,HIP 37791,07 44 58.22,-31 54 29.60,Hip,VI,9
116.46,-34.3301389,9,IC 2206,HIP 37876,07 45 50.40,-34 19 48.50,Hip,VI,10
119.9427083,-28.7341944,10,AS 193,HIP 39086,07 59 46.25,-28 44 03.10,Hip,VI,11
122.3831667,-47.3366111,11,gamma^2 Vel,HIP 39953,08 09 31.96,-47 20 11.80,Hip,VI,12
131.196875,-45.9820833,12,Ve5-5,GSC 8151-4295,08 44 47.25,-45 58 55.50,GSC,VI,13
132.4703333,-45.1733611,13,Ve6-15,GSC 8152-2075,08 49 52.88,-45 10 24.10,GSC,VI,14
133.7465417,-47.5924167,14,Ve5-8,HIP 43778,08 54 59.17,-47 35 32.70,Hip,VI,15
138.2990417,-50.1071111,15,Ve5-10,HIP 45237,09 13 11.77,-50 06 25.60,Hip,VI,16
148.7204583,-57.7273056,16,,HIP 48617,09 54 52.91,-57 43 38.30,Hip,VI,17
152.633,-60.6451111,17,,HIP 49838,10 10 31.92,-60 38 42.40,Hip,VI,18
154.2595,-57.9130278,18,,HIP 50368,10 17 02.28,-57 54 46.90,Hip,VI,19
154.5209167,-58.2738611,19,LS 3,,10 18 05.02,-58 16 25.90,L2,VI,20
154.7225,-58.1313889,19a,SMSP 1,,10 18 53.40,-58 07 53.00,SM91,SM91,21
154.8270833,-59.1602778,20,BS 1,,10 19 18.50,-59 09 37.00,VIp,VI,22
155.9916667,-57.7636111,20a,SMSP 2,,10 23 58.00,-57 45 49.00,SM91,"SM91,BM94",23
156.0766667,-57.8083333,20b,SMSP 3,,10 24 18.40,-57 48 30.00,SM91,SM91,24
156.6309167,-58.6406111,21,,HIP 51109,10 26 31.42,-58 38 26.20,Hip,VI,25
156.485375,-57.8123333,21a,1E 1024.0-5732,GSC 8608-0157,10 25 56.49,-57 48 44.40,MB94,Th66,26
160.323,-59.6769167,22,HR 4188,HIP 52308,10 41 17.52,-59 40 36.90,Hip,VI,27
160.4097083,-58.7718889,23,,HIP 52331,10 41 38.33,-58 46 18.80,Hip,VI,28
160.9677917,-60.1177778,24,,HIP 52488,10 43 52.27,-60 07 04.00,Hip,VI,29
161.0432917,-59.7197222,25,,PPM 339385,10 44 10.39,-59 43 11.00,L1,VI,30
161.1336667,-57.8399167,26,MS 1,,10 44 32.08,-57 50 23.70,Wi99,VI,31
161.158625,-58.8080278,27,LS 4,,10 44 38.07,-58 48 28.90,Wi99,VI,32
162.2445,-59.0604167,28,MS 2,GSC 8626-1709,10 48 58.68,-59 03 37.50,GSC,VI,33
162.6929167,-60.4782222,29,MS 3,GSC 8957-2405,10 50 46.30,-60 28 41.60,GSC,VI,34
162.7750417,-62.2838333,30,,TYC 8961 618 1,10 51 06.01,-62 17 01.80,Tyc,VI,35
162.9122083,-60.9431111,30a,MS 4,,10 51 38.93,-60 56 35.20,Wi99,VI,36
163.4367917,-59.5129722,31,,HIP 53274,10 53 44.83,-59 30 46.70,Hip,VI,37
163.4985833,-60.4456389,31a,He3-519,,10 53 59.66,-60 26 44.30,Sim,LSS,38
164.04825,-60.4535556,31b,,HIP 53461,10 56 11.58,-60 27 12.80,Hip,HL92,39
164.4291667,-60.5669444,31c,SMSP 4,,10 57 43.00,-60 34 01.00,SM91,SM91,40
164.9705833,-59.8786667,32,MS 5,,10 59 52.94,-59 52 43.20,Wi99,VI,41
